Timestamp;Numpack;O1;O2;T3;T4;Timestamp_ms;label
1;0;-0,049632311;-0,052169468;-0,062854064;-0,066551653;1708638581196;Relax
2;0;-0,04982686;-0,053603796;-0,062947143;-0,06661574;1708638581196;Relax
3;1;-0,049838304;-0,054512839;-0,062929595;-0,066590182;1708638581241;Relax
4;1;-0,04976201;-0,055143027;-0,062865508;-0,06652228;1708638581241;Relax
5;2;-0,049703264;-0,055590873;-0,062765563;-0,06639754;1708638581241;Relax
6;2;-0,049696016;-0,055941444;-0,062651885;-0,066267458;1708638581241;Relax
7;3;-0,049642992;-0,056205803;-0,06252867;-0,0661225;1708638581241;Relax
8;3;-0,049526643;-0,056404549;-0,062387526;-0,065976015;1708638581241;Relax
9;4;-0,049352311;-0,056567055;-0,062226164;-0,065826479;1708638581241;Relax
10;4;-0,04921193;-0,056684548;-0,062070906;-0,065654436;1708638581241;Relax
11;5;-0,049172639;-0,05679403;-0,061938536;-0,065460649;1708638581241;Relax
12;5;-0,049118852;-0,056852395;-0,061764204;-0,065301957;1708638581241;Relax
13;6;-0,048957108;-0,056909234;-0,061601698;-0,065135636;1708638581241;Relax
14;6;-0,048773621;-0,057004983;-0,061446439;-0,064974275;1708638581241;Relax
15;7;-0,048645066;-0,057040078;-0,061288892;-0,064809098;1708638581257;Relax
16;7;-0,048611115;-0,057077844;-0,061139737;-0,064650025;1708638581257;Relax
17;8;-0,04852147;-0,057096536;-0,060987149;-0,064473023;1708638581257;Relax
18;8;-0,048369645;-0,057101495;-0,060826932;-0,064311661;1708638581257;Relax
19;9;-0,048202179;-0,057096536;-0,060682355;-0,064165939;1708638581272;Relax
20;9;-0,048090408;-0,057111413;-0,060537396;-0,063998474;1708638581272;Relax
21;10;-0,048043869;-0,057119805;-0,060404644;-0,063845886;1708638581272;Relax
22;10;-0,047969101;-0,057115991;-0,060271511;-0,063707412;1708638581272;Relax
23;11;-0,047853134;-0,057114846;-0,060143719;-0,063552917;1708638581288;Relax
24;11;-0,04768338;-0,057091577;-0,059974346;-0,063402618;1708638581288;Relax
25;12;-0,047549102;-0,057069833;-0,059838161;-0,063251556;1708638581303;Relax
26;12;-0,047501419;-0,057062966;-0,059714184;-0,063105453;1708638581303;Relax
27;13;-0,047451827;-0,05705343;-0,05958868;-0,062966979;1708638581303;Relax
28;13;-0,047317169;-0,05703016;-0,059467754;-0,062831557;1708638581303;Relax
29;14;-0,047158096;-0,057009942;-0,059326228;-0,062690413;1708638581303;Relax
30;14;-0,047050902;-0,056992013;-0,059204921;-0,062569106;1708638581303;Relax
31;15;-0,047037551;-0,056990869;-0,05908781;-0,062442458;1708638581318;Relax
32;15;-0,046968123;-0,056973702;-0,05896345;-0,062307417;1708638581318;Relax
33;16;-0,046835372;-0,056936318;-0,058836039;-0,062178862;1708638581334;Relax
34;16;-0,04669728;-0,056902749;-0,058703288;-0,062057173;1708638581334;Relax
35;17;-0,04660916;-0,056891305;-0,058598765;-0,061944258;1708638581334;Relax
36;17;-0,04657788;-0,05689779;-0,058507212;-0,06183325;1708638581334;Relax
37;18;-0,046525618;-0,056866509;-0,058390482;-0,061701261;1708638581350;Relax
38;18;-0,046428343;-0,056835992;-0,058281763;-0,061586439;1708638581350;Relax
39;19;-0,046280333;-0,056805093;-0,058158167;-0,061465513;1708638581350;Relax
40;19;-0,046182295;-0,056773049;-0,058051355;-0,061359083;1708638581350;Relax
41;20;-0,046163603;-0,056756264;-0,057965525;-0,061258756;1708638581350;Relax
42;20;-0,046135374;-0,056744057;-0,057876261;-0,061134778;1708638581350;Relax
43;21;-0,046012159;-0,056708199;-0,057772882;-0,061026822;1708638581380;Relax
44;21;-0,045873304;-0,056668526;-0,057657297;-0,060925351;1708638581380;Relax
45;22;-0,045790907;-0,056656319;-0,057567651;-0,060828458;1708638581380;Relax
46;22;-0,045796247;-0,05665136;-0,057471521;-0,06073576;1708638581380;Relax
47;23;-0,045745893;-0,056620461;-0,057379587;-0,060632382;1708638581412;Relax
48;23;-0,045638319;-0,056584984;-0,057278497;-0,060520993;1708638581412;Relax
49;24;-0,045513578;-0,056543786;-0,057182748;-0,060417996;1708638581412;Relax
