Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label;bipolar_left;bipolar_right
1;0;-2.1767815648403158e-05;-4.030782872427118e-05;-6.756879816222779e-05;-0.00010483995765553237;0;0;0;0;1718459671869;Noise;9.806117540059672e-07;6.271904832594515e-06
2;0;-0.0004808990767265608;-0.0006006984887872765;-0.0007372782450661261;-0.0008912804558166331;0;0;0;0;1718459671869;Noise;6.086344986910714e-05;8.862840656206742e-05
3;1;-0.001944404939783005;-0.0022155235531312574;-0.002508232442165178;-0.002822954473841683;0;0;0;0;1718459671949;Noise;0.00019082319573877535;0.00022990831418413403
4;1;-0.004735306847611625;-0.005186851425066378;-0.005661849871598794;-0.006160330246017006;0;0;0;0;1718459671949;Noise;0.0003595592204345085;0.00040520580653746145
5;2;-0.009002784491996004;-0.00964030987852362;-0.010300590831008188;-0.010983432286952456;0;0;0;0;1718459671965;Noise;0.0005453644365882807;0.0005917808963582863
6;2;-0.014724812412141863;-0.01553596307825254;-0.016367367934725756;-0.017218599816792107;0;0;0;0;1718459671965;Noise;0.0007271101906408152;0.0007698325099974989
7;3;-0.021755319594044465;-0.022715205883301295;-0.02369158208716776;-0.02468394189694567;0;0;0;0;1718459671965;Noise;0.0008895020139428125;0.0009257197939650727
8;3;-0.029865190149179106;-0.030941161244214893;-0.03202921035813703;-0.03312876639896931;0;0;0;0;1718459671965;Noise;0.0010226533322658868;0.00105046702201151
9;4;-0.03877727802089356;-0.03993277816947378;-0.04109565547261807;-0.04226533921792996;0;0;0;0;1718459671965;Noise;0.001120729300670413;0.0011393183866654846
10;4;-0.04819426314329614;-0.04939185512016536;-0.05059222338479808;-0.051794821121773846;0;0;0;0;1718459671965;Noise;0.001181493891703661;0.0011907148430103376
11;5;-0.05782074282541593;-0.059024528994701855;-0.060226794827182115;-0.06142704948116355;0;0;0;0;1718459671997;Noise;0.0012053252655236033;0.0012056360437716004
12;5;-0.06737979770590183;-0.06855708995889694;-0.06972907096117698;-0.07089532365545756;0;0;0;0;1718459671997;Noise;0.001194688025425411;0.0011869434612270247
13;6;-0.07662481484321915;-0.07774734965765677;-0.0788613869127899;-0.07996658896996717;0;0;0;0;1718459672029;Noise;0.0011534604820209737;0.0011387894196208947
14;6;-0.08534716685974722;-0.0863917650782578;-0.08742534606459787;-0.0884476589290906;0;0;0;0;1718459672029;Noise;0.0010864505813774489;0.0010661522320918049
15;7;-0.09338022455412301;-0.09432910031799725;-0.09526511594461548;-0.09618810343041762;0;0;0;0;1718459672029;Noise;0.0009989457242272903;0.0009743671083349281
16;7;-0.1006005503732452;-0.10144127467061526;-0.10226795041818919;-0.1030804904833938;0;0;0;0;1718459672029;Noise;0.0008963505162345176;0.0008688333686930616
17;8;-0.10692678476240369;-0.1076520236042289;-0.10836263485794076;-0.1090586025745191;0;0;0;0;1718459672045;Noise;0.0007839218534570064;0.0007547254789674884
18;8;-0.11231684816465146;-0.11292390897922847;-0.11351630350251779;-0.11409407892570356;0;0;0;0;1718459672045;Noise;0.0006665442571567037;0.0006368165702303336
19;9;-0.11676382104690357;-0.11725407245839789;-0.11773008292812201;-0.1181919517881085;0;0;0;0;1718459672061;Noise;0.000548583302065378;0.0005193191011738096
20;9;-0.12029104396589542;-0.12066926825295078;-0.12103405482072796;-0.12138554481248766;0;0;0;0;1718459672061;Noise;0.0004337815500704001;0.00040581417327065217
21;10;-0.12294676706667018;-0.12322047167233477;-0.12348183436926348;-0.12373102723476323;0;0;0;0;1718459672061;Noise;0.00032521170548237277;0.00029920047909542946
22;10;-0.12479864172310703;-0.12497737845090025;-0.1251450781865001;-0.12530193387080252;0;0;0;0;1718459672061;Noise;0.0002252543460431744;0.00020168925415105232
23;11;-0.1259283901966039;-0.12602311276897862;-0.1261082364863156;-0.12618396612172364;0;0;0;0;1718459672061;Noise;0.0001356261206676146;0.00011483823078378697
