experiment;timestamp;timestamp_ms;signal_eeg_01;signal_eeg_02;signal_eeg_t3;signal_eeg_t4;resistance_eeg_01;resistance_eeg_02;resistance_eeg_t3;resistance_eeg_t4;label
20240130101353;20240130_10:57:44,675;1706651864675;-1,75431;-0,431415;-0,790605;-0,125852;;;;;BLINK
20240130101353;20240130_10:57:44,693;1706651864693;-0,402648;-1,13436;-0,386491;0,188275;;;;;BLINK
20240130101353;20240130_10:57:44,708;1706651864708;-1,50435;-1,32655;0,297988;-0,036693;;;;;BLINK
20240130101353;20240130_10:57:44,726;1706651864726;-1,08581;-2,16335;-0,15134;-1,40112;;;;;BLINK
20240130101353;20240130_10:57:44,744;1706651864744;-0,954288;-1,99995;-1,49806;-1,30795;;;;;BLINK
20240130101353;20240130_10:57:44,759;1706651864759;0,212965;-0,052112;0,0386346;-0,01063;;;;;BLINK
20240130101353;20240130_10:57:44,775;1706651864775;0,417884;-0,669038;-0,011957;-1,36974;;;;;BLINK
20240130101353;20240130_10:57:44,793;1706651864793;-1,59171;-0,770043;-0,063197;-0,0709814;;;;;BLINK
20240130101353;20240130_10:57:44,811;1706651864811;-0,0629308;-0,456176;1,00503;1,46022;;;;;BLINK
20240130101353;20240130_10:57:44,826;1706651864826;0,024829;-0,369291;0,875259;0,058649;;;;;BLINK
20240130101353;20240130_10:57:44,842;1706651864842;1,37201;0,901754;0,399601;1,15067;;;;;BLINK
20240130101353;20240130_10:57:44,863;1706651864863;0,269988;0,710877;1,11082;0,753097;;;;;BLINK
20240130101353;20240130_10:57:44,877;1706651864877;0,647769;1,34684;0,949605;1,32923;;;;;BLINK
20240130101353;20240130_10:57:44,894;1706651864894;-0,147835;-0,561125;0,174845;0,0028724;;;;;BLINK
20240130101353;20240130_10:57:44,910;1706651864910;-0,613467;-0,124398;-0,178655;-0,040656;;;;;BLINK
20240130101353;20240130_10:57:44,926;1706651864926;0,203529;-0,187559;0,469231;0,0042434;;;;;BLINK
20240130101353;20240130_10:57:44,943;1706651864943;1,09652;-0,0514028;0,10285;0,0470658;;;;;BLINK
20240130101353;20240130_10:57:44,962;1706651864962;0,015054;-0,552484;-0,112475;-0,086077;;;;;BLINK
20240130101353;20240130_10:57:44,977;1706651864977;0,209313;-0,0446091;-0,171613;-0,368773;;;;;BLINK
20240130101353;20240130_10:57:44,992;1706651864992;0,0051721;-0,164904;-0,373552;-0,565302;;;;;BLINK
20240130101353;20240130_10:57:45,009;1706651865009;-0,00961712;-0,385558;-1,04253;-0,668727;;;;;BLINK
20240130101353;20240130_10:57:45,026;1706651865026;-1,71382;-1,99782;-2,15409;-3,00419;;;;;BLINK
20240130101353;20240130_10:57:45,042;1706651865042;-4,59865;-4,69697;-4,87586;-5,10391;;;;;BLINK
20240130101353;20240130_10:57:45,060;1706651865060;-7,45395;-6,44418;-8,05485;-0,61498;;;;;BLINK
20240130101353;20240130_10:57:45,078;1706651865078;-6,71449;-6,39552;-0,73577;-6,41588;;;;;BLINK
20240130101353;20240130_10:57:45,092;1706651865092;-6,77258;-6,44048;-7,42513;-6,24956;;;;;BLINK
20240130101353;20240130_10:57:45,110;1706651865110;-5,38974;-5,41856;-6,80727;-5,25706;;;;;BLINK
20240130101353;20240130_10:57:45,128;1706651865128;-4,78674;-0,36931;-4,80473;-4,31304;;;;;BLINK
20240130101353;20240130_10:57:45,144;1706651865144;-4,08591;-2,59611;-0,43796;-2,98692;;;;;BLINK
20240130101353;20240130_10:57:45,161;1706651865161;-4,10334;-2,81199;-3,66869;-2,70763;;;;;BLINK
