experiment;timestamp;timestamp_ms;signal_eeg_01;signal_eeg_02;signal_eeg_t3;signal_eeg_t4;resistance_eeg_01;resistance_eeg_02;resistance_eeg_t3;resistance_eeg_t4;label
2,02402E+14;20240204_04:21:28.082;1707060088082;-0,000264153;-0,000176796;-0,000325986;-0,000114441;;;;;RELAX
2,02402E+14;20240204_04:21:28.105;1707060088105;-0,000225269;-0,000146324;-0,00027164;-8,78281;;;;;RELAX
2,02402E+14;20240204_04:21:28.121;1707060088121;-0,000203274;-0,000141736;-0,000248813;-7,81073;;;;;RELAX
2,02402E+14;20240204_04:21:28.139;1707060088139;-0,000141989;-0,000103419;-0,000184964;-3,25618;;;;;RELAX
2,02402E+14;20240204_04:21:28.155;1707060088155;-0,91686;-7,32433;-0,000147386;-0,756645;;;;;RELAX
2,02402E+14;20240204_04:21:28.170;1707060088170;-8,49506;-6,30133;-0,000128139;-0,236501;;;;;RELAX
2,02402E+14;20240204_04:21:28.187;1707060088187;-7,42579;-0,74181;-0,000119014;-0,012574;;;;;RELAX
2,02402E+14;20240204_04:21:28.206;1707060088206;-5,38667;-4,84802;-0,00010487;1,76847;;;;;RELAX
2,02402E+14;20240204_04:21:28.221;1707060088221;-3,26039;-3,87389;-0,65746;2,24197;;;;;RELAX
2,02402E+14;20240204_04:21:28.239;1707060088239;-0,27219;-3,36871;-6,21295;2,77328;;;;;RELAX
2,02402E+14;20240204_04:21:28.256;1707060088256;-0,069705;-1,55934;-2,87148;3,89689;;;;;RELAX
2,02402E+14;20240204_04:21:28.271;1707060088271;-1,02532;-1,09692;-2,34066;4,31248;;;;;RELAX
2,02402E+14;20240204_04:21:28.289;1707060088289;-0,586362;-0,608658;-1,85406;4,90597;;;;;RELAX
2,02402E+14;20240204_04:21:28.305;1707060088305;-0,873169;-0,166948;-1,43818;5,72364;;;;;RELAX
2,02402E+14;20240204_04:21:28.330;1707060088330;-1,19947;-0,466401;-1,26379;5,04715;;;;;RELAX
2,02402E+14;20240204_04:21:28.338;1707060088338;0,331588;-0,0907853;-0,906677;5,13134;;;;;RELAX
2,02402E+14;20240204_04:21:28.347;1707060088347;0,11702;-0,301983;1,53298;3,61801;;;;;RELAX
2,02402E+14;20240204_04:21:28.364;1707060088364;1,36741;0,626312;2,80729;0,03944;;;;;RELAX
2,02402E+14;20240204_04:21:28.379;1707060088379;1,74222;0,351526;0,15086;4,52936;;;;;RELAX
2,02402E+14;20240204_04:21:28.389;1707060088389;1,28999;0,038012;1,53057;4,81105;;;;;RELAX
2,02402E+14;20240204_04:21:28.404;1707060088404;0,113112;-0,111128;1,80675;0,46974;;;;;RELAX
2,02402E+14;20240204_04:21:28.412;1707060088412;0,113112;-0,111128;1,80675;0,46974;;;;;RELAX
2,02402E+14;20240204_04:21:28.421;1707060088421;0,0098139;-0,745432;2,13616;3,72519;;;;;RELAX
2,02402E+14;20240204_04:21:28.430;1707060088430;0,0098139;-0,745432;2,13616;3,72519;;;;;RELAX
2,02402E+14;20240204_04:21:28.439;1707060088439;0,358097;0,490147;1,74117;4,71814;;;;;RELAX
2,02402E+14;20240204_04:21:28.446;1707060088446;0,358097;0,490147;1,74117;4,71814;;;;;RELAX
2,02402E+14;20240204_04:21:28.455;1707060088455;1,55196;0,721543;2,76037;0,41199;;;;;RELAX
2,02402E+14;20240204_04:21:28.464;1707060088464;2,87651;1,72748;3,34376;5,28171;;;;;RELAX
2,02402E+14;20240204_04:21:28.471;1707060088471;2,87651;1,72748;3,34376;5,28171;;;;;RELAX
2,02402E+14;20240204_04:21:28.480;1707060088480;2,41854;2,21185;3,34376;5,28171;;;;;RELAX
2,02402E+14;20240204_04:21:28.487;1707060088487;2,04533;0,24266;2,24946;6,01253;;;;;RELAX
2,02402E+14;20240204_04:21:28.497;1707060088497;0,288452;0,675695;1,47263;5,12005;;;;;RELAX
2,02402E+14;20240204_04:21:28.506;1707060088506;0,288452;0,675695;1,47263;5,12005;;;;;RELAX
2,02402E+14;20240204_04:21:28.521;1707060088521;0,698963;0,898319;2,74332;0,45894;;;;;RELAX
2,02402E+14;20240204_04:21:28.529;1707060088529;0,769117;0,629077;2,47412;4,35014;;;;;RELAX
2,02402E+14;20240204_04:21:28.538;1707060088538;0,769117;0,629077;2,47412;4,35014;;;;;RELAX
2,02402E+14;20240204_04:21:28.547;1707060088547;1,42233;1,21033;2,33721;4,44174;;;;;RELAX
2,02402E+14;20240204_04:21:28.555;1707060088555;0,815403;1,65227;0,26474;5,15678;;;;;RELAX
2,02402E+14;20240204_04:21:28.564;1707060088564;0,536578;1,74693;2,17543;5,30914;;;;;RELAX
2,02402E+14;20240204_04:21:28.572;1707060088572;1,68643;2,43034;0,31189;0,52739;;;;;RELAX
2,02402E+14;20240204_04:21:28.579;1707060088579;1,68643;2,43034;0,31189;0,52739;;;;;RELAX
2,02402E+14;20240204_04:21:28.588;1707060088588;2,04911;3,17436;2,94766;6,01986;;;;;RELAX
2,02402E+14;20240204_04:21:28.597;1707060088597;1,75821;2,67091;2,94766;5,55165;;;;;RELAX
2,02402E+14;20240204_04:21:28.605;1707060088605;1,57617;2,20479;3,08829;4,93388;;;;;RELAX
2,02402E+14;20240204_04:21:28.613;1707060088613;1,57617;2,20479;3,08829;4,93388;;;;;RELAX
2,02402E+14;20240204_04:21:28.621;1707060088621;2,00737;2,41381;3,09436;5,06668;;;;;RELAX
2,02402E+14;20240204_04:21:28.630;1707060088630;0,26921;3,49167;3,34748;5,39825;;;;;RELAX
2,02402E+14;20240204_04:21:28.638;1707060088638;0,26921;3,49167;3,34748;5,39825;;;;;RELAX
2,02402E+14;20240204_04:21:28.647;1707060088647;0,29437;0,03444;2,51874;5,52632;;;;;RELAX
2,02402E+14;20240204_04:21:28.654;1707060088654;0,29437;0,03444;2,51874;5,52632;;;;;RELAX
2,02402E+14;20240204_04:21:28.664;1707060088664;3,19237;3,42121;3,56912;5,67443;;;;;RELAX
2,02402E+14;20240204_04:21:28.671;1707060088671;3,19237;3,42121;3,56912;5,67443;;;;;RELAX
2,02402E+14;20240204_04:21:28.680;1707060088680;1,71419;2,56548;2,84997;5,23473;;;;;RELAX
2,02402E+14;20240204_04:21:28.688;1707060088688;0,242232;2,08713;1,38667;4,82672;;;;;RELAX
2,02402E+14;20240204_04:21:28.697;1707060088697;1,81479;2,43097;2,49051;4,94226;;;;;RELAX
2,02402E+14;20240204_04:21:28.706;1707060088706;1,38472;2,30275;2,76263;0,45422;;;;;RELAX
2,02402E+14;20240204_04:21:28.713;1707060088713;0,593538;1,74848;1,89174;4,23502;;;;;RELAX
2,02402E+14;20240204_04:21:28.722;1707060088722;0,0924432;0,814434;0,538242;3,72801;;;;;RELAX
2,02402E+14;20240204_04:21:28.729;1707060088729;0,0924432;0,814434;0,538242;3,72801;;;;;RELAX
2,02402E+14;20240204_04:21:28.739;1707060088739;0,113531;1,08817;0,572724;4,07891;;;;;RELAX
2,02402E+14;20240204_04:21:28.746;1707060088746;0,113531;1,08817;0,572724;4,07891;;;;;RELAX
2,02402E+14;20240204_04:21:28.756;1707060088756;-0,774604;0,217703;0,147262;3,38714;;;;;RELAX
2,02402E+14;20240204_04:21:28.764;1707060088764;-0,347643;0,0442805;0,0590829;3,01573;;;;;RELAX
2,02402E+14;20240204_04:21:28.771;1707060088771;-0,347643;0,0442805;0,0590829;3,01573;;;;;RELAX
2,02402E+14;20240204_04:21:28.781;1707060088781;-0,328117;0,617416;0,208929;3,62983;;;;;RELAX
2,02402E+14;20240204_04:21:28.788;1707060088788;-0,878544;0,617416;0,208929;3,62983;;;;;RELAX
2,02402E+14;20240204_04:21:28.798;1707060088798;-0,221424;0,793248;-0,103916;0,37663;;;;;RELAX
2,02402E+14;20240204_04:21:28.814;1707060088814;0,10428;0,0141227;-0,014563;3,00619;;;;;RELAX
2,02402E+14;20240204_04:21:28.822;1707060088822;0,10428;0,0141227;-0,014563;3,00619;;;;;RELAX
2,02402E+14;20240204_04:21:28.830;1707060088830;0,668543;0,042797;0,269332;3,04542;;;;;RELAX
2,02402E+14;20240204_04:21:28.839;1707060088839;-0,670566;-0,0463989;-0,896917;3,07313;;;;;RELAX
2,02402E+14;20240204_04:21:28.846;1707060088846;-0,670566;-0,0463989;-0,896917;3,07313;;;;;RELAX
2,02402E+14;20240204_04:21:28.855;1707060088855;-1,52216;-1,16327;-1,19839;2,42992;;;;;RELAX
2,02402E+14;20240204_04:21:28.864;1707060088864;-1,52216;-1,16327;-1,32407;2,42992;;;;;RELAX
2,02402E+14;20240204_04:21:28.872;1707060088872;-1,23323;-0,896541;-0,975639;2,16006;;;;;RELAX
2,02402E+14;20240204_04:21:28.880;1707060088880;-1,23323;-0,896541;-0,975639;2,16006;;;;;RELAX
2,02402E+14;20240204_04:21:28.889;1707060088889;-0,483227;0,016947;-0,287689;2,99077;;;;;RELAX
2,02402E+14;20240204_04:21:28.897;1707060088897;-0,736048;1,09747;0,0936015;3,70358;;;;;RELAX
2,02402E+14;20240204_04:21:28.905;1707060088905;-1,60135;0,431932;-0,546072;3,21519;;;;;RELAX
2,02402E+14;20240204_04:21:28.913;1707060088913;-1,60135;-0,10882;-0,13453;1,89702;;;;;RELAX
2,02402E+14;20240204_04:21:28.921;1707060088921;-0,19845;-1,52836;-1,22318;1,97919;;;;;RELAX
2,02402E+14;20240204_04:21:28.930;1707060088930;-0,795767;-0,524635;-0,957424;2,48765;;;;;RELAX
2,02402E+14;20240204_04:21:28.938;1707060088938;-0,795767;-0,524635;-0,957424;2,48765;;;;;RELAX
2,02402E+14;20240204_04:21:28.948;1707060088948;-0,781658;-0,0223979;-0,171185;2,62728;;;;;RELAX
2,02402E+14;20240204_04:21:28.955;1707060088955;-0,781658;-0,0223979;-0,171185;2,62728;;;;;RELAX
2,02402E+14;20240204_04:21:28.963;1707060088963;-1,10076;-1,52034;-1,37856;2,10195;;;;;RELAX
2,02402E+14;20240204_04:21:28.971;1707060088971;-1,10076;-1,52034;-1,37856;2,10195;;;;;RELAX
2,02402E+14;20240204_04:21:28.980;1707060088980;-0,0155286;-0,985218;-0,755328;2,19073;;;;;RELAX
2,02402E+14;20240204_04:21:28.989;1707060088989;0,716239;-0,773799;-0,172122;2,25273;;;;;RELAX
2,02402E+14;20240204_04:21:28.997;1707060088997;0,716239;-0,773799;-0,172122;2,25273;;;;;RELAX
2,02402E+14;20240204_04:21:29.006;1707060089006;1,12199;-0,546465;0,186714;3,78321;;;;;RELAX
2,02402E+14;20240204_04:21:29.023;1707060089023;1,34499;-0,227735;-0,520292;4,06447;;;;;RELAX
2,02402E+14;20240204_04:21:29.030;1707060089030;1,34499;-0,227735;-0,520292;4,06447;;;;;RELAX
2,02402E+14;20240204_04:21:29.039;1707060089039;0,335546;-1,47126;-0,11507;3,30608;;;;;RELAX
2,02402E+14;20240204_04:21:29.047;1707060089047;0,612026;-1,68612;-0,865314;3,30608;;;;;RELAX
2,02402E+14;20240204_04:21:29.055;1707060089055;1,69186;-1,15939;-0,186411;3,69114;;;;;RELAX
2,02402E+14;20240204_04:21:29.063;1707060089063;2,78989;-0,433547;0,438929;3,86844;;;;;RELAX
2,02402E+14;20240204_04:21:29.072;1707060089072;2,75354;0,420503;0,723152;4,65569;;;;;RELAX
2,02402E+14;20240204_04:21:29.081;1707060089081;3,23093;1,67883;0,0680454;5,22092;;;;;RELAX
2,02402E+14;20240204_04:21:29.088;1707060089088;3,23093;1,67883;0,0680454;5,22092;;;;;RELAX
2,02402E+14;20240204_04:21:29.098;1707060089098;2,33239;1,67194;-0,268185;5,33007;;;;;RELAX
2,02402E+14;20240204_04:21:29.106;1707060089106;2,33239;1,67194;-0,268185;5,33007;;;;;RELAX
2,02402E+14;20240204_04:21:29.113;1707060089113;0,671768;0,523503;-1,03204;4,56708;;;;;RELAX
2,02402E+14;20240204_04:21:29.122;1707060089122;0,671768;0,523503;-1,03204;4,56708;;;;;RELAX
2,02402E+14;20240204_04:21:29.131;1707060089131;0,030071;-0,711146;-1,76802;3,43042;;;;;RELAX
2,02402E+14;20240204_04:21:29.140;1707060089140;1,49784;-0,285965;-1,20458;3,30317;;;;;RELAX
2,02402E+14;20240204_04:21:29.148;1707060089148;0,11791;-0,568242;-0,771436;3,15266;;;;;RELAX
2,02402E+14;20240204_04:21:29.156;1707060089156;0,646395;0,0508811;-0,791455;3,06193;;;;;RELAX
2,02402E+14;20240204_04:21:29.163;1707060089163;0,646395;0,0508811;-0,791455;3,06193;;;;;RELAX
2,02402E+14;20240204_04:21:29.172;1707060089172;2,74046;0,706247;-0,796238;3,52388;;;;;RELAX
2,02402E+14;20240204_04:21:29.180;1707060089180;2,74046;0,706247;-0,796238;3,52388;;;;;RELAX
2,02402E+14;20240204_04:21:29.190;1707060089190;2,09814;0,739182;-1,25065;3,21674;;;;;RELAX
2,02402E+14;20240204_04:21:29.197;1707060089197;2,09814;0,739182;-1,25065;3,21674;;;;;RELAX
2,02402E+14;20240204_04:21:29.205;1707060089205;0,254988;0,0882418;-1,15937;2,40035;;;;;RELAX
2,02402E+14;20240204_04:21:29.215;1707060089215;-1,56801;-0,868723;-1,55024;0,15495;;;;;RELAX
2,02402E+14;20240204_04:21:29.222;1707060089222;-1,56801;-0,868723;-1,55024;0,15495;;;;;RELAX
2,02402E+14;20240204_04:21:29.231;1707060089231;-1,22027;-0,231067;-1,84287;1,45187;;;;;RELAX
2,02402E+14;20240204_04:21:29.238;1707060089238;-1,22027;-0,231067;-1,84287;1,45187;;;;;RELAX
2,02402E+14;20240204_04:21:29.248;1707060089248;-0,138654;-0,156112;0,0376817;1,96281;;;;;RELAX
2,02402E+14;20240204_04:21:29.256;1707060089256;-0,138654;-0,156112;0,0376817;1,96281;;;;;RELAX
2,02402E+14;20240204_04:21:29.263;1707060089263;0,237643;0,224137;-1,67289;2,13881;;;;;RELAX
2,02402E+14;20240204_04:21:29.272;1707060089272;0,237643;0,614253;-1,67289;2,13881;;;;;RELAX
2,02402E+14;20240204_04:21:29.281;1707060089281;-0,913667;0,126648;-1,88386;1,73312;;;;;RELAX
2,02402E+14;20240204_04:21:29.290;1707060089290;-0,748193;0,298395;-0,961764;2,41133;;;;;RELAX
2,02402E+14;20240204_04:21:29.298;1707060089298;-0,748193;0,298395;-0,961764;2,41133;;;;;RELAX
2,02402E+14;20240204_04:21:29.306;1707060089306;-0,748193;0,298395;-0,961764;2,41133;;;;;RELAX
